Ngày,Công đoạn,Người HC,Giờ HC,Người TC,Giờ TC,Về giữa giờ,M3
02/05/2026,DBDH,44,352.00,0,0.00,0.00,13.9992
02/05/2026,DH07,17,136.00,0,0.00,0.00,0.1893
02/05/2026,DP09,9,72.00,0,0.00,0.00,1.1646
02/05/2026,LR02,18,144.00,0,0.00,0.00,9.8194
02/05/2026,NHA01,9,72.00,0,0.00,0.00,13.9992
02/05/2026,PHOI1,7,56.00,0,0.00,0.00,0.0000
04/05/2026,DBDH,52,416.00,49,171.50,3.00,10.3148
04/05/2026,DH07,20,160.00,18,63.00,3.00,5.2687
04/05/2026,DP09,9,72.00,9,31.50,0.00,6.5907
04/05/2026,LR02,22,176.00,21,73.50,0.00,13.7403
04/05/2026,NHA01,10,80.00,10,35.00,0.00,10.3148
04/05/2026,PHOI1,9,72.00,0,0.00,0.00,1.7509
05/05/2026,DBDH,55,440.00,54,189.00,0.00,7.3567
05/05/2026,DH07,22,176.00,22,77.00,0.00,5.6894
05/05/2026,DP09,9,72.00,9,31.50,0.00,1.3146
05/05/2026,LR02,23,184.00,22,77.00,0.00,12.5881
05/05/2026,NHA01,10,80.00,10,35.00,0.00,7.3567
05/05/2026,PHOI1,9,72.00,0,0.00,0.00,1.1751
06/05/2026,DBDH,52,416.00,0,0.00,0.00,26.5756
06/05/2026,DH07,21,168.00,0,0.00,0.00,0.4166
06/05/2026,DP09,9,72.00,0,0.00,0.00,2.0451
06/05/2026,LR02,21,168.00,0,0.00,4.00,4.8314
06/05/2026,NHA01,10,80.00,0,0.00,0.00,26.5756
06/05/2026,PHOI1,8,64.00,0,0.00,0.00,0.0029
07/05/2026,DBDH,57,456.00,59,206.50,0.00,7.8299
07/05/2026,DH07,23,184.00,22,77.00,0.00,13.4046
07/05/2026,DP09,9,72.00,8,28.00,0.00,11.5834
07/05/2026,LR02,22,176.00,22,77.00,0.00,3.0741
07/05/2026,NHA01,12,96.00,12,42.00,0.00,7.8299
07/05/2026,PHOI1,8,64.00,0,0.00,0.00,1.5334
08/05/2026,DBDH,56,448.00,54,189.00,0.00,7.4753
08/05/2026,DH07,23,184.00,22,77.00,0.00,10.1810
08/05/2026,DP09,9,72.00,7,24.50,0.00,1.1332
08/05/2026,LR02,21,168.00,21,73.50,0.00,3.4236
08/05/2026,NHA01,12,96.00,12,42.00,0.00,8.7829
08/05/2026,PHOI1,9,72.00,0,0.00,0.00,2.5390
09/05/2026,DBDH,53,424.00,0,0.00,0.00,4.9862
09/05/2026,DH07,23,184.00,0,0.00,0.00,7.8742
09/05/2026,DP09,10,80.00,0,0.00,0.00,3.1052
09/05/2026,LR02,21,168.00,0,0.00,0.00,5.4714
09/05/2026,NHA01,10,80.00,0,0.00,0.00,4.9862
09/05/2026,PHOI1,9,72.00,0,0.00,0.00,0.8986
10/05/2026,DBDH,48,384.00,0,0.00,0.00,6.4341
10/05/2026,DH07,18,144.00,0,0.00,0.00,1.2668
10/05/2026,DP09,7,56.00,0,0.00,0.00,3.4571
10/05/2026,LR02,20,160.00,0,0.00,0.00,24.4376
10/05/2026,NHA01,11,88.00,0,0.00,0.00,5.6011
10/05/2026,PHOI1,9,72.00,0,0.00,0.00,1.0014
11/05/2026,DBDH,50,400.00,49,171.50,0.00,3.3930
11/05/2026,DH07,20,160.00,20,70.00,0.00,7.6310
11/05/2026,DP09,10,80.00,10,35.00,0.00,3.7806
11/05/2026,LR02,20,160.00,19,66.50,0.00,4.8961
11/05/2026,NHA01,10,80.00,8,28.00,0.00,3.5938
11/05/2026,PHOI1,10,80.00,8,28.00,0.00,5.4645
12/05/2026,DBDH,55,440.00,53,185.50,3.00,11.2087
12/05/2026,DH07,22,176.00,22,77.00,0.00,8.7897
12/05/2026,DP09,10,80.00,9,31.50,0.00,4.9028
12/05/2026,LR02,22,176.00,21,73.50,3.00,2.4801
12/05/2026,NHA01,11,88.00,10,35.00,0.00,11.2087
12/05/2026,PHOI1,10,80.00,9,31.50,0.00,1.6414
13/05/2026,DBDH,56,448.00,0,0.00,0.00,4.7791
13/05/2026,DH07,22,176.00,0,0.00,0.00,2.0988
13/05/2026,DP09,11,88.00,0,0.00,0.00,2.7065
13/05/2026,LR02,23,184.00,0,0.00,0.00,4.8299
13/05/2026,NHA01,10,80.00,0,0.00,0.00,4.7791
13/05/2026,PHOI1,8,64.00,0,0.00,0.00,6.6836
14/05/2026,DBDH,57,456.00,53,185.50,4.00,5.6531
14/05/2026,DH07,21,168.00,21,73.50,4.00,3.5444
14/05/2026,DP09,12,96.00,11,38.50,0.00,22.1781
14/05/2026,LR02,25,200.00,22,77.00,0.00,2.9565
14/05/2026,NHA01,10,80.00,9,31.50,0.00,5.6531
14/05/2026,PHOI1,9,72.00,6,21.00,0.00,2.4672
15/05/2026,DBDH,56,448.00,53,185.50,0.00,18.4782
15/05/2026,DH07,20,160.00,17,59.50,0.00,4.5354
15/05/2026,DP09,9,72.00,8,28.00,0.00,5.3030
15/05/2026,LR02,26,208.00,23,80.50,0.00,8.3105
15/05/2026,NHA01,14,112.00,13,45.50,0.00,18.4782
15/05/2026,PHOI1,10,80.00,6,21.00,0.00,2.9102
16/05/2026,DBDH,62,496.00,0,0.00,0.00,11.3598
16/05/2026,DH07,20,160.00,0,0.00,0.00,9.7689
16/05/2026,DP09,10,80.00,0,0.00,0.00,4.0091
16/05/2026,LR02,25,200.00,0,0.00,0.00,5.7971
16/05/2026,NHA01,16,128.00,0,0.00,0.00,11.3598
16/05/2026,PHOI1,8,64.00,0,0.00,0.00,0.1019
18/05/2026,DBDH,52,416.00,44,154.00,14.00,8.5668
18/05/2026,DH07,18,144.00,16,56.00,0.00,1.7922
18/05/2026,DP09,11,88.00,10,35.00,0.00,2.6800
18/05/2026,LR02,23,184.00,18,63.00,10.00,14.6146
18/05/2026,NHA01,11,88.00,10,35.00,4.00,7.0729
18/05/2026,PHOI1,9,72.00,8,28.00,0.00,1.8859
19/05/2026,DBDH,56,448.00,50,175.00,0.00,4.5123
19/05/2026,DH07,21,168.00,19,66.50,0.00,8.1937
19/05/2026,DP09,11,88.00,10,35.00,0.00,1.6324
19/05/2026,LR02,23,184.00,21,73.50,0.00,2.1858
19/05/2026,NHA01,12,96.00,11,38.50,0.00,4.5123
19/05/2026,PHOI1,11,88.00,9,31.50,0.00,3.0595
20/05/2026,DBDH,57,456.00,0,0.00,10.00,9.5259
20/05/2026,DH07,21,168.00,0,0.00,4.00,5.6404
20/05/2026,DP09,11,88.00,0,0.00,0.00,3.1978
20/05/2026,LR02,24,192.00,0,0.00,6.00,6.5829
20/05/2026,NHA01,12,96.00,0,0.00,0.00,11.0198
20/05/2026,PHOI1,10,80.00,0,0.00,0.00,1.8908
21/05/2026,DBDH,59,472.00,53,185.50,10.00,9.6564
21/05/2026,DH07,22,176.00,22,77.00,0.00,12.1983
21/05/2026,DP09,12,96.00,11,38.50,0.00,4.2299
21/05/2026,LR02,25,200.00,21,73.50,10.00,10.6722
21/05/2026,NHA01,12,96.00,10,35.00,0.00,9.6564
21/05/2026,PHOI1,11,88.00,9,31.50,0.00,7.0309
22/05/2026,DBDH,55,440.00,50,175.00,0.00,0.0000
22/05/2026,DH07,21,168.00,20,70.00,0.00,9.1257
22/05/2026,DP09,12,96.00,10,35.00,0.00,6.6240
22/05/2026,LR02,22,176.00,21,73.50,0.00,0.5919
22/05/2026,NHA01,12,96.00,8,28.00,0.00,0.0000
22/05/2026,PHOI1,10,80.00,7,24.50,0.00,1.9672
23/05/2026,DBDH,56,448.00,0,0.00,0.00,0.0000
23/05/2026,DH07,22,176.00,0,0.00,0.00,9.0831
23/05/2026,DP09,11,88.00,0,0.00,0.00,3.5665
23/05/2026,LR02,24,192.00,0,0.00,3.50,0.1078
23/05/2026,NHA01,12,96.00,0,0.00,0.00,1.5595
23/05/2026,PHOI1,11,88.00,0,0.00,0.00,6.1865
24/05/2026,DBDH,53,424.00,0,0.00,0.00,0.0000
24/05/2026,DH07,18,144.00,0,0.00,0.00,4.9276
24/05/2026,DP09,11,88.00,0,0.00,0.00,4.4014
24/05/2026,LR02,23,184.00,0,0.00,0.00,11.1865
24/05/2026,NHA01,12,96.00,0,0.00,0.00,0.0000
24/05/2026,PHOI1,9,72.00,0,0.00,0.00,2.0396
25/05/2026,DBDH,55,440.00,52,182.00,8.00,13.1295
25/05/2026,DH07,20,160.00,20,70.00,0.00,7.4834
25/05/2026,DP09,12,96.00,11,38.50,0.00,7.9763
25/05/2026,LR02,26,208.00,23,80.50,8.00,2.3316
25/05/2026,NHA01,9,72.00,9,31.50,0.00,13.1295
25/05/2026,PHOI1,10,80.00,9,31.50,0.00,2.0703
26/05/2026,DBDH,59,472.00,56,196.00,4.00,5.0408
26/05/2026,DH07,23,184.00,23,80.50,0.00,4.9038
26/05/2026,DP09,13,104.00,13,45.50,0.00,3.8802
26/05/2026,LR02,24,192.00,23,80.50,4.00,4.5998
26/05/2026,NHA01,12,96.00,10,35.00,0.00,5.0408
26/05/2026,PHOI1,10,80.00,9,31.50,0.00,0.0000
27/05/2026,DBDH,56,448.00,0,0.00,0.00,5.6885
27/05/2026,DH07,21,168.00,0,0.00,0.00,4.4508
27/05/2026,DP09,13,104.00,0,0.00,0.00,2.5679
27/05/2026,LR02,26,208.00,0,0.00,0.00,7.9639
27/05/2026,NHA01,10,80.00,0,0.00,0.00,5.6885
27/05/2026,PHOI1,12,96.00,0,0.00,0.00,0.0000
28/05/2026,DBDH,57,456.00,53,185.50,4.00,5.6885
28/05/2026,DH07,23,184.00,22,77.00,4.00,13.6366
28/05/2026,DP09,14,112.00,12,42.00,0.00,6.5127
28/05/2026,LR02,24,192.00,22,77.00,0.00,3.4131
28/05/2026,NHA01,10,80.00,9,31.50,0.00,5.6885
28/05/2026,PHOI1,12,96.00,11,38.50,0.00,3.8473
29/05/2026,DBDH,60,480.00,51,178.50,0.00,3.8106
29/05/2026,DH07,23,184.00,20,70.00,0.00,5.7974
29/05/2026,DP09,14,112.00,11,38.50,0.00,2.2034
29/05/2026,LR02,24,192.00,19,66.50,0.00,4.5126
29/05/2026,NHA01,13,104.00,12,42.00,0.00,3.8106
29/05/2026,PHOI1,12,96.00,11,38.50,0.00,6.8988
30/05/2026,DBDH,58,464.00,0,0.00,0.00,5.9460
30/05/2026,DH07,22,176.00,0,0.00,0.00,12.5089
30/05/2026,DP09,12,96.00,0,0.00,0.00,2.4887
30/05/2026,LR02,22,176.00,0,0.00,0.00,5.9460
30/05/2026,NHA01,12,96.00,0,0.00,0.00,0.0000
30/05/2026,PHOI1,11,88.00,0,0.00,0.00,4.8934
